age_floor,sex,marital,manner
1,d,s,a
1,d,s,n
1,d,s,n
1,d,s,n
1,d,s,n
1,d,s,n
1,d,s,n
1,d,s,n
1,d,s,n
1,d,s,h
1,d,s,a
1,d,s,n
1,d,s,n
1,d,s,n
1,d,s,h
1,d,s,a
1,d,s,n
1,d,s,n
1,d,s,n
1,d,s,n
1,d,s,n
1,d,s,a
1,d,s,n
1,d,s,n
1,d,s,n
1,d,s,n
1,d,s,n
1,d,s,n
1,m,s,n
1,f,s,n
1,m,s,n
1,m,s,n
1,m,s,n
1,m,s,n
1,m,s,n
1,m,s,p
1,m,s,c
1,m,s,n
1,m,s,n
1,m,s,n
1,f,s,n
1,m,s,c
1,f,s,a
1,f,s,n
1,f,s,n
1,f,s,n
1,m,s,n
1,f,s,n
1,f,s,n
1,f,s,n
1,m,s,n
1,m,s,a
1,m,s,p
1,f,s,n
1,m,s,n
1,f,s,n
1,m,s,p
1,m,s,n
1,m,s,n
1,m,s,n
1,f,s,a
1,m,s,n
1,f,s,n
1,f,s,n
1,m,s,n
1,m,s,n
1,f,s,n
1,m,s,n
1,m,s,n
1,m,s,n
1,m,s,n
1,m,s,n
1,m,s,c
1,f,s,n
1,f,s,a
1,m,s,n
1,m,s,h
1,m,s,n
1,m,s,n
1,m,s,n
1,m,s,h
1,m,s,a
1,m,s,a
1,m,s,n
1,f,s,n
1,m,s,h
1,m,s,c
1,f,s,n
1,m,s,n
1,m,s,n
1,m,s,n
1,f,s,n
1,m,s,n
1,f,s,n
1,m,s,n
1,f,s,a
1,m,s,n
1,m,s,n
1,f,s,c
1,m,s,n
1,f,s,n
1,m,s,n
1,m,s,n
1,m,s,n
1,f,s,n
1,f,s,p
2,f,w,n
2,m,s,n
2,f,s,n
2,m,s,n
2,f,w,n
2,f,s,a
2,m,s,n
2,f,s,n
2,f,s,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,m,s,n
2,m,s,n
2,f,w,n
2,m,s,a
2,m,s,n
2,f,s,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,m,s,n
2,f,d,n
2,f,s,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,m,m,n
2,f,w,n
2,f,s,n
2,f,w,n
2,f,s,a
2,m,s,n
2,m,s,a
2,f,w,n
2,m,s,n
2,f,w,n
2,f,w,n
2,m,w,n
2,m,s,a
2,f,w,n
2,f,w,n
2,f,w,n
2,f,s,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,s,n
2,f,w,n
2,m,w,n
2,f,s,n
2,f,w,n
2,f,w,n
2,f,s,a
2,m,s,h
2,m,s,a
2,f,w,n
2,f,w,n
2,m,w,n
2,m,s,n
2,f,s,n
2,f,w,n
2,m,s,n
2,f,w,n
2,f,s,n
2,m,s,n
2,f,s,a
2,f,s,n
2,f,s,a
2,f,s,n
2,f,s,n
2,m,s,n
2,f,s,n
2,f,s,n
2,m,s,h
2,f,w,n
2,f,s,n
2,m,s,a
2,m,s,a
2,f,s,n
2,m,s,n
2,f,w,n
2,m,s,n
2,f,s,n
2,f,s,n
2,f,s,a
2,f,s,n
2,m,s,a
2,m,s,a
2,m,s,n
2,m,s,n
2,f,w,n
2,f,s,n
2,f,w,n
2,m,s,n
2,f,s,n
2,m,s,a
2,f,w,n
2,f,w,n
2,f,w,n
2,f,s,n
2,f,s,a
2,f,w,n
2,f,w,n
2,f,s,n
2,f,s,n
2,f,s,n
2,m,s,a
2,m,s,n
2,m,s,n
2,f,s,n
2,f,w,n
2,f,s,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,m,s,n
2,f,w,n
2,f,w,n
2,m,s,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,s,n
2,m,w,n
2,f,w,n
2,f,w,n
2,f,s,n
2,f,s,n
2,f,w,n
2,m,s,n
2,m,s,n
2,f,w,n
2,f,w,n
2,f,w,n
2,m,s,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,s,n
2,m,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,s,n
2,f,s,a
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,m,s,a
2,f,s,n
2,m,w,n
2,f,w,n
2,f,s,n
2,f,w,n
2,f,s,n
2,m,w,n
2,f,s,a
2,f,w,n
2,f,s,n
2,f,s,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,m,w,n
2,f,s,h
2,m,w,n
2,m,m,n
2,f,s,a
2,f,s,n
2,m,s,n
2,m,s,n
2,f,s,n
2,m,s,n
2,f,s,n
2,m,s,n
2,f,s,n
2,m,s,n
2,f,s,n
2,f,w,n
2,m,s,n
2,m,s,a
2,f,s,n
2,f,s,n
2,f,w,n
2,f,s,n
2,m,s,n
2,f,s,n
2,f,w,n
2,m,s,n
2,m,s,n
2,f,d,n
2,f,s,n
2,f,s,n
2,f,s,n
2,m,s,a
2,f,w,n
2,f,s,n
2,f,w,n
2,f,w,n
2,f,w,n
2,m,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,d,n
2,f,w,n
2,f,w,n
2,m,w,n
2,f,w,n
2,m,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,s,n
2,f,w,n
2,m,s,a
2,m,w,n
2,f,s,a
2,f,w,n
2,f,s,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,w,n
2,f,s,n
2,f,w,n
2,f,w,n
2,f,s,a
2,f,w,n
2,m,s,n
2,f,w,n
2,f,s,n
2,f,w,n
2,f,s,n
